Edad,Sexo,Valor,Data,Tipo
66 años,Hombres,37455,Absolutos,entre20001y50000
67 años,Hombres,37837,Absolutos,entre20001y50000
68 años,Hombres,36671,Absolutos,entre20001y50000
69 años,Hombres,33907,Absolutos,entre20001y50000
70 años,Hombres,31992,Absolutos,entre20001y50000
71 años,Hombres,32315,Absolutos,entre20001y50000
72 años,Hombres,33546,Absolutos,entre20001y50000
73 años,Hombres,29807,Absolutos,entre20001y50000
74 años,Hombres,27420,Absolutos,entre20001y50000
75 años,Hombres,27802,Absolutos,entre20001y50000
76 años,Hombres,25850,Absolutos,entre20001y50000
77 años,Hombres,24431,Absolutos,entre20001y50000
78 años,Hombres,20049,Absolutos,entre20001y50000
79 años,Hombres,17560,Absolutos,entre20001y50000
80 años,Hombres,20813,Absolutos,entre20001y50000
81 años,Hombres,12807,Absolutos,entre20001y50000
82 años,Hombres,13528,Absolutos,entre20001y50000
83 años,Hombres,14085,Absolutos,entre20001y50000
84 años,Hombres,13541,Absolutos,entre20001y50000
85 años,Hombres,12028,Absolutos,entre20001y50000
86 años,Hombres,10894,Absolutos,entre20001y50000
87 años,Hombres,9789,Absolutos,entre20001y50000
88 años,Hombres,8254,Absolutos,entre20001y50000
89 años,Hombres,6730,Absolutos,entre20001y50000
90 años,Hombres,5654,Absolutos,entre20001y50000
91 años,Hombres,4251,Absolutos,entre20001y50000
92 años,Hombres,3381,Absolutos,entre20001y50000
93 años,Hombres,2354,Absolutos,entre20001y50000
94 años,Hombres,1768,Absolutos,entre20001y50000
95 años,Hombres,1230,Absolutos,entre20001y50000
96 años,Hombres,812,Absolutos,entre20001y50000
97 años,Hombres,568,Absolutos,entre20001y50000
98 años,Hombres,374,Absolutos,entre20001y50000
99 años,Hombres,229,Absolutos,entre20001y50000
100 y más años,Hombres,482,Absolutos,entre20001y50000
0 años,Hombres,9965,Absolutos,entre2001y5000
1 año,Hombres,11145,Absolutos,entre2001y5000
2 años,Hombres,11677,Absolutos,entre2001y5000
3 años,Hombres,12523,Absolutos,entre2001y5000
4 años,Hombres,13249,Absolutos,entre2001y5000
5 años,Hombres,13709,Absolutos,entre2001y5000
6 años,Hombres,13878,Absolutos,entre2001y5000
7 años,Hombres,13593,Absolutos,entre2001y5000
8 años,Hombres,14640,Absolutos,entre2001y5000
9 años,Hombres,15429,Absolutos,entre2001y5000
10 años,Hombres,15806,Absolutos,entre2001y5000
11 años,Hombres,15399,Absolutos,entre2001y5000
12 años,Hombres,16642,Absolutos,entre2001y5000
13 años,Hombres,15974,Absolutos,entre2001y5000
14 años,Hombres,15722,Absolutos,entre2001y5000
15 años,Hombres,15240,Absolutos,entre2001y5000
16 años,Hombres,15425,Absolutos,entre2001y5000
17 años,Hombres,15210,Absolutos,entre2001y5000
18 años,Hombres,14879,Absolutos,entre2001y5000
19 años,Hombres,15228,Absolutos,entre2001y5000
20 años,Hombres,15133,Absolutos,entre2001y5000
21 años,Hombres,15067,Absolutos,entre2001y5000
22 años,Hombres,14773,Absolutos,entre2001y5000
23 años,Hombres,14729,Absolutos,entre2001y5000
24 años,Hombres,14733,Absolutos,entre2001y5000
25 años,Hombres,14712,Absolutos,entre2001y5000
26 años,Hombres,15087,Absolutos,entre2001y5000
27 años,Hombres,15622,Absolutos,entre2001y5000
28 años,Hombres,16182,Absolutos,entre2001y5000
29 años,Hombres,16286,Absolutos,entre2001y5000
30 años,Hombres,16398,Absolutos,entre2001y5000
31 años,Hombres,16834,Absolutos,entre2001y5000
32 años,Hombres,17030,Absolutos,entre2001y5000
33 años,Hombres,17287,Absolutos,entre2001y5000
34 años,Hombres,18010,Absolutos,entre2001y5000
35 años,Hombres,18506,Absolutos,entre2001y5000
36 años,Hombres,19271,Absolutos,entre2001y5000
37 años,Hombres,20178,Absolutos,entre2001y5000
38 años,Hombres,21027,Absolutos,entre2001y5000
39 años,Hombres,22103,Absolutos,entre2001y5000
40 años,Hombres,23419,Absolutos,entre2001y5000
41 años,Hombres,23951,Absolutos,entre2001y5000
42 años,Hombres,25129,Absolutos,entre2001y5000
43 años,Hombres,25572,Absolutos,entre2001y5000
44 años,Hombres,26071,Absolutos,entre2001y5000
45 años,Hombres,25290,Absolutos,entre2001y5000
46 años,Hombres,25524,Absolutos,entre2001y5000
47 años,Hombres,25141,Absolutos,entre2001y5000
48 años,Hombres,24848,Absolutos,entre2001y5000
49 años,Hombres,24991,Absolutos,entre2001y5000
50 años,Hombres,24858,Absolutos,entre2001y5000
51 años,Hombres,24543,Absolutos,entre2001y5000
52 años,Hombres,24697,Absolutos,entre2001y5000
53 años,Hombres,25117,Absolutos,entre2001y5000
54 años,Hombres,24189,Absolutos,entre2001y5000
55 años,Hombres,24234,Absolutos,entre2001y5000
56 años,Hombres,24645,Absolutos,entre2001y5000
57 años,Hombres,23650,Absolutos,entre2001y5000
58 años,Hombres,22650,Absolutos,entre2001y5000
59 años,Hombres,22418,Absolutos,entre2001y5000
60 años,Hombres,22432,Absolutos,entre2001y5000
61 años,Hombres,21889,Absolutos,entre2001y5000
62 años,Hombres,20966,Absolutos,entre2001y5000
63 años,Hombres,20165,Absolutos,entre2001y5000
64 años,Hombres,18722,Absolutos,entre2001y5000
65 años,Hombres,17735,Absolutos,entre2001y5000
66 años,Hombres,17162,Absolutos,entre2001y5000
67 años,Hombres,17031,Absolutos,entre2001y5000
68 años,Hombres,16380,Absolutos,entre2001y5000
69 años,Hombres,15203,Absolutos,entre2001y5000
70 años,Hombres,14509,Absolutos,entre2001y5000
71 años,Hombres,14823,Absolutos,entre2001y5000
72 años,Hombres,15327,Absolutos,entre2001y5000
73 años,Hombres,13697,Absolutos,entre2001y5000
74 años,Hombres,12761,Absolutos,entre2001y5000
75 años,Hombres,12879,Absolutos,entre2001y5000
